,code,name,name_long,bid,vat_number,city_or_mun,language,mun_center,province,subregion
190,584,Perho,Perhon kunta,0181464-7,FI01814647,kunta,suomi,Perhon kirkonkylä,Keski-Pohjanmaa,Kaustisen seutukunta
191,588,Pertunmaa,Pertunmaan kunta,0165867-2,FI01658672,kunta,suomi,Pertunmaan kirkonkylä,Etelä-Savo,Mikkelin seutukunta
192,592,Petäjävesi,Petäjäveden kunta,0176769-2,FI01767692,kunta,suomi,Petäjäveden kirkonkylä,Keski-Suomi,Jyväskylän seutukunta
193,593,Pieksämäki,Pieksämäen kaupunki,2048903-4,FI20489034,kaupunki,suomi,Pieksämäen keskustaajama,Etelä-Savo,Pieksämäen seutukunta
194,595,Pielavesi,Pielaveden kunta,0172446-5,FI01724465,kunta,suomi,Pielaveden kirkonkylä,Pohjois-Savo,Ylä-Savon seutukunta
195,598,Pietarsaari,Jakobstads stad,0209242-0,FI02092420,kaupunki,"ruotsi, suomi",Pietarsaaren keskustaajama,Pohjanmaa,Jakobstadsregionen
196,601,Pihtipudas,Pihtiputaan kunta,0243027-4,FI02430274,kunta,suomi,Pihtiputaan kirkonkylä,Keski-Suomi,Saarijärven–Viitasaaren seutukunta
197,604,Pirkkala,Pirkkalan kunta,0152084-1,FI01520841,kunta,suomi,Naistenmatka,Pirkanmaa,Tampereen seutukunta
198,607,Polvijärvi,Polvijärven kunta,0169823-6,FI01698236,kunta,suomi,Polvijärven kirkonkylä,Pohjois-Karjala,Joensuun seutukunta
199,608,Pomarkku,Pomarkun kunta,0136610-0,FI01366100,kunta,suomi,Pomarkun kirkonkylä,Satakunta,Porin seutukunta
200,609,Pori,Porin kaupunki,0137323-9,FI01373239,kaupunki,suomi,Porin keskustaajama,Satakunta,Porin seutukunta
201,611,Pornainen,Pornaisten kunta,0130095-3,FI01300953,kunta,suomi,Pornaisten kirkonkylä,Uusimaa,Helsingin seutukunta
202,638,Porvoo,Porvoon kaupunki,1061512-1,FI10615121,kaupunki,"suomi, ruotsi",Porvoon keskustaajama,Uusimaa,Porvoon seutukunta
203,614,Posio,Posion kunta,0191908-6,FI01919086,kunta,suomi,Ahola,Lappi,Itä-Lapin seutukunta
204,615,Pudasjärvi,Pudasjärven kaupunki,0188962-2,FI01889622,kaupunki,suomi,Kurenalus,Pohjois-Pohjanmaa,Oulunkaaren seutukunta
205,616,Pukkila,Pukkilan kunta,0130729-0,FI01307290,kunta,suomi,Pukkilan kirkonkylä,Uusimaa,Porvoon seutukunta
206,619,Punkalaidun,Punkalaitumen kunta,0138037-5,FI01380375,kunta,suomi,Punkalaitumen kirkonkylä,Pirkanmaa,Lounais-Pirkanmaan seutukunta
207,620,Puolanka,Puolangan kunta,0189081-8,FI01890818,kunta,suomi,Puolangan kirkonkylä,Kainuu,Kehys-Kainuun seutukunta
208,623,Puumala,Puumalan kunta,0166400-1,FI01664001,kunta,suomi,Puumalan kirkonkylä,Etelä-Savo,Mikkelin seutukunta
209,624,Pyhtää,Pyhtään kunta,0162798-0,FI01627980,kunta,"suomi, ruotsi",Siltakylä,Kymenlaakso,Kotka–Haminan seutukunta
210,625,Pyhäjoki,Pyhäjoen kunta,0189127-1,FI01891271,kunta,suomi,Pyhäjoen kirkonkylä,Pohjois-Pohjanmaa,Raahen seutukunta
211,626,Pyhäjärvi,Pyhäjärven kaupunki,0210261-7,FI02102617,kaupunki,suomi,Pyhäsalmi,Pohjois-Pohjanmaa,Nivala–Haapajärven seutukunta
212,630,Pyhäntä,Pyhännän kunta,0189226-6,FI01892266,kunta,suomi,Pyhännän kirkonkylä,Pohjois-Pohjanmaa,Haapaveden-Siikalatvan seutukunta
213,631,Pyhäranta,Pyhärannan kunta,0204403-1,FI02044031,kunta,suomi,Rohdainen,Varsinais-Suomi,Vakka-Suomen seutukunta
214,635,Pälkäne,Pälkäneen kunta,2050961-3,FI20509613,kunta,suomi,Onkkaala,Pirkanmaa,Tampereen seutukunta
215,636,Pöytyä,Pöytyän kunta,1929519-5,FI19295195,kunta,suomi,Kyrö ja Riihikoski,Varsinais-Suomi,Loimaan seutukunta
216,678,Raahe,Raahen kaupunki,1791817-6,FI17918176,kaupunki,suomi,Raahen keskustaajama,Pohjois-Pohjanmaa,Raahen seutukunta
217,710,Raasepori,Raseborgs stad,0131297-0,FI01312970,kaupunki,"ruotsi, suomi",Tammisaaren keskustaajama,Uusimaa,Raaseporin seutukunta
218,680,Raisio,Raision kaupunki,0204428-5,FI02044285,kaupunki,suomi,Raision keskustaajama,Varsinais-Suomi,Turun seutukunta
219,681,Rantasalmi,Rantasalmen kunta,0166507-1,FI01665071,kunta,suomi,Rantasalmen kirkonkylä,Etelä-Savo,Savonlinnan seutukunta
220,683,Ranua,Ranuan kunta,0191974-8,FI01919748,kunta,suomi,Ranuan kirkonkylä,Lappi,Rovaniemen seutukunta
221,684,Rauma,Rauman kaupunki,0138780-9,FI01387809,kaupunki,suomi,Rauman keskustaajama,Satakunta,Rauman seutukunta
222,686,Rautalampi,Rautalammin kunta,0172586-3,FI01725863,kunta,suomi,Rautalammin kirkonkylä,Pohjois-Savo,Sisä-Savon seutukunta
223,687,Rautavaara,Rautavaaran kunta,0172646-0,FI01726460,kunta,suomi,Rautavaaran kirkonkylä,Pohjois-Savo,Koillis-Savon seutukunta
224,689,Rautjärvi,Rautjärven kunta,0206951-1,FI02069511,kunta,suomi,Simpele,Etelä-Karjala,Imatran seutukunta
225,691,Reisjärvi,Reisjärven kunta,0189548-3,FI01895483,kunta,suomi,Reisjärven kirkonkylä,Pohjois-Pohjanmaa,Nivala–Haapajärven seutukunta
226,694,Riihimäki,Riihimäen kaupunki,0152563-4,FI01525634,kaupunki,suomi,Riihimäen keskustaajama,Kanta-Häme,Riihimäen seutukunta
227,697,Ristijärvi,Ristijärven kunta,0189576-6,FI01895766,kunta,suomi,Ristijärven kirkonkylä,Kainuu,Kajaanin seutukunta
228,698,Rovaniemi,Rovaniemen kaupunki,1978283-1,FI19782831,kaupunki,suomi,Rovaniemen keskustaajama,Lappi,Rovaniemen seutukunta
229,700,Ruokolahti,Ruokolahden kunta,0163013-5,FI01630135,kunta,suomi,Rasila,Etelä-Karjala,Imatran seutukunta
230,702,Ruovesi,Ruoveden kunta,0152842-1,FI01528421,kunta,suomi,Ruoveden kirkonkylä,Pirkanmaa,Ylä-Pirkanmaan seutukunta
231,704,Rusko,Ruskon kunta,0204524-5,FI02045245,kunta,suomi,Ruskon kirkonkylä,Varsinais-Suomi,Turun seutukunta
232,707,Rääkkylä,Rääkkylän kunta,0169967-7,FI01699677,kunta,suomi,Rääkkylän kirkonkylä,Pohjois-Karjala,Keski-Karjalan seutukunta
233,729,Saarijärvi,Saarijärven kaupunki,0176975-1,FI01769751,kaupunki,suomi,Saarijärven keskustaajama,Keski-Suomi,Saarijärven–Viitasaaren seutukunta
234,732,Salla,Sallan kunta,0192936-4,FI01929364,kunta,suomi,Sallan kirkonkylä,Lappi,Itä-Lapin seutukunta
235,734,Salo,Salon kaupunki,0139533-1,FI01395331,kaupunki,suomi,Salon keskustaajama,Varsinais-Suomi,Salon seutukunta
236,736,Saltvik,Saltviks kommun,0205119-4,FI02051194,kunta,ruotsi,Nääs,Ahvenanmaa,Ålands landsbygd
237,790,Sastamala,Sastamalan kaupunki,0144411-3,FI01444113,kaupunki,suomi,Vammalan keskustaajama,Pirkanmaa,Lounais-Pirkanmaan seutukunta
238,738,Sauvo,Sauvon kunta,9038213-6,FI90382136,kunta,suomi,Sauvon kirkonkylä,Varsinais-Suomi,Turun seutukunta
239,739,Savitaipale,Savitaipaleen kunta,0163109-0,FI01631090,kunta,suomi,Savitaipaleen kirkonkylä,Etelä-Karjala,Lappeenrannan seutukunta
240,740,Savonlinna,Savonlinnan kaupunki,0166906-4,FI01669064,kaupunki,suomi,Savonlinnan keskustaajama,Etelä-Savo,Savonlinnan seutukunta
241,742,Savukoski,Savukosken kunta,0210704-7,FI02107047,kunta,suomi,Savukosken kirkonkylä,Lappi,Itä-Lapin seutukunta
242,743,Seinäjoki,Seinäjoen kaupunki,1928736-3,FI19287363,kaupunki,suomi,Seinäjoen keskustaajama,Etelä-Pohjanmaa,Seinäjoen seutukunta
243,746,Sievi,Sievin kunta,0189615-2,FI01896152,kunta,suomi,Sievin kirkonkylä,Pohjois-Pohjanmaa,Ylivieskan seutukunta
244,747,Siikainen,Siikaisten kunta,0139842-8,FI01398428,kunta,suomi,Siikaisten kirkonkylä,Satakunta,Pohjois-Satakunnan seutukunta
245,748,Siikajoki,Siikajoen kunta,2047359-3,FI20473593,kunta,suomi,Ruukki,Pohjois-Pohjanmaa,Raahen seutukunta
246,791,Siikalatva,Siikalatvan kunta,0189019-9,FI01890199,kunta,suomi,Pulkkilan kirkonkylä,Pohjois-Pohjanmaa,Haapaveden-Siikalatvan seutukunta
247,749,Siilinjärvi,Siilinjärven kunta,0172718-0,FI01727180,kunta,suomi,Siilinjärven kirkonkylä,Pohjois-Savo,Kuopion seutukunta
248,751,Simo,Simon kunta,0193015-4,FI01930154,kunta,suomi,Simon asemanseutu,Lappi,Kemi–Tornion seutukunta
249,753,Sipoo,Sipoon kunta sibbo kommun,0203533-8,FI02035338,kunta,"suomi, ruotsi",Nikkilä,Uusimaa,Helsingin seutukunta
250,755,Siuntio,Siuntion kunta,0131156-4,FI01311564,kunta,"suomi, ruotsi",Siuntion asemanseutu,Uusimaa,Helsingin seutukunta
251,758,Sodankylä,Sodankylän kunta,0193169-1,FI01931691,kunta,"suomi, pohjoissaame",Sodankylän kirkonkylä,Lappi,Pohjois-Lapin seutukunta
252,759,Soini,Soinin kunta,0182637-3,FI01826373,kunta,suomi,Soinin kirkonkylä,Etelä-Pohjanmaa,Kuusiokuntien seutukunta
253,761,Somero,Someron kaupunki,0153082-0,FI01530820,kaupunki,suomi,Someron keskustaajama,Varsinais-Suomi,Salon seutukunta
254,762,Sonkajärvi,Sonkajärven kunta,9090160-2,FI90901602,kunta,suomi,Sonkajärven kirkonkylä,Pohjois-Savo,Ylä-Savon seutukunta
255,765,Sotkamo,Sotkamon kunta,0189766-5,FI01897665,kunta,suomi,Sotkamon kirkonkylä,Kainuu,Kajaanin seutukunta
256,766,Sottunga,Sottunga kommun,0205121-5,FI02051215,kunta,ruotsi,Sottunga,Ahvenanmaa,Ålands skärgård
257,768,Sulkava,Sulkavan kunta,0167265-0,FI01672650,kunta,suomi,Sulkavan kirkonkylä,Etelä-Savo,Savonlinnan seutukunta
258,771,Sund,Sunds kommun,0205125-8,FI02051258,kunta,ruotsi,Björby,Ahvenanmaa,Ålands landsbygd
259,777,Suomussalmi,Suomussalmen kunta,0189925-7,FI01899257,kunta,suomi,Ämmänsaari,Kainuu,Kehys-Kainuun seutukunta
260,778,Suonenjoki,Suonenjoen kaupunki,0208061-4,FI02080614,kaupunki,suomi,Suonenjoen keskustaajama,Pohjois-Savo,Sisä-Savon seutukunta
261,781,Sysmä,Sysmän kunta,0167352-2,FI01673522,kunta,suomi,Sysmän kirkonkylä,Päijät-Häme,Lahden seutukunta
262,783,Säkylä,Säkylän kunta,0139937-5,FI01399375,kunta,suomi,Säkylän kirkonkylä,Satakunta,Rauman seutukunta
263,831,Taipalsaari,Taipalsaaren kunta,0163320-5,FI01633205,kunta,suomi,Taipalsaaren kirkonkylä,Etelä-Karjala,Lappeenrannan seutukunta
264,832,Taivalkoski,Taivalkosken kunta,0190100-3,FI01901003,kunta,suomi,Taivalkosken kirkonkylä,Pohjois-Pohjanmaa,Koillismaan seutukunta
265,833,Taivassalo,Taivassalon kunta,0139991-4,FI01399914,kunta,suomi,Taivassalon kirkonkylä,Varsinais-Suomi,Vakka-Suomen seutukunta
266,834,Tammela,Tammelan kunta,0153179-4,FI01531794,kunta,suomi,Tammelan kirkonkylä,Kanta-Häme,Forssan seutukunta
267,837,Tampere,Tampereen kaupunki,0211675-2,FI02116752,kaupunki,suomi,Tampereen keskustaajama,Pirkanmaa,Tampereen seutukunta
268,844,Tervo,Tervon kunta,0173081-4,FI01730814,kunta,suomi,Tervon kirkonkylä,Pohjois-Savo,Sisä-Savon seutukunta
269,845,Tervola,Tervolan kunta,0193249-1,FI01932491,kunta,suomi,Tervolan kirkonkylä,Lappi,Kemi–Tornion seutukunta
270,846,Teuva,Teuvan kunta,0182734-1,FI01827341,kunta,suomi,Teuvan kirkonkylä,Etelä-Pohjanmaa,Suupohjan seutukunta
271,848,Tohmajärvi,Tohmajärven kunta,1919717-3,FI19197173,kunta,suomi,Kemie,Pohjois-Karjala,Keski-Karjalan seutukunta
272,849,Toholampi,Toholammin kunta,0182779-8,FI01827798,kunta,suomi,Toholammin kirkonkylä,Keski-Pohjanmaa,Kaustisen seutukunta
273,850,Toivakka,Toivakan kunta,0177201-0,FI01772010,kunta,suomi,Toivakan kirkonkylä,Keski-Suomi,Jyväskylän seutukunta
274,851,Tornio,Tornion kaupunki,0193524-6,FI01935246,kaupunki,suomi,Tornion keskustaajama,Lappi,Kemi–Tornion seutukunta
275,853,Turku,Turun kaupunki,0204819-8,FI02048198,kaupunki,"suomi, ruotsi",Turun keskustaajama,Varsinais-Suomi,Turun seutukunta
276,857,Tuusniemi,Tuusniemen kunta,0173128-6,FI01731286,kunta,suomi,Tuusniemen kirkonkylä,Pohjois-Savo,Koillis-Savon seutukunta
277,858,Tuusula,Tuusulan kunta,0131661-3,FI01316613,kunta,suomi,Hyrylä,Uusimaa,Helsingin seutukunta
278,859,Tyrnävä,Tyrnävän kunta,0190140-9,FI01901409,kunta,suomi,Tyrnävän kirkonkylä,Pohjois-Pohjanmaa,Oulun seutukunta
279,886,Ulvila,Ulvilan kaupunki,0204910-7,FI02049107,kaupunki,suomi,Vanhakylä,Satakunta,Porin seutukunta
